,Strain,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,1046624_0,6.4815413377,0.975910166744,4.78279233396,5.61006991874,8.5558435352,10.9013638767,7.93842805649,16.2999889934,4.73531990248,3.80739579009,4.27810577467,5.89209199595,0.00170996541688,1.8444106241,1.90633142469,2.89076712427,1.24107742264,0.0846387054993,0.367087211928,7.55052892365,2.50932992772,4.12621480379,0.925616806417,1.76027752537,10.5035633883,2.67593874957,2.57646521744,0.752333495313,4.03511173457,3.76447087939,2.57360565764,5.09864148386
2,1117941_0,5.69702015452,2.07054642652,7.07343007834,2.5894424125,2.00088079699,1.7474380641,2.54897196885,5.9322432591,1.88542681172,2.26919286908,1.84242836024,0.51523002147,16.195268737,5.70236916825,1.20847560376,4.80545940831,1.39248004836,9.12680011937,0.0808390708445,0.52130884197,1.29717939154,4.64070383353,6.11456629522,0.808122334342,9.52686569945,2.04862258619,3.74311064127,0.863899754665,6.08627141039,2.9167308951,12.8863897959,1.0944317663
3,1358_1,9.21312386291,11.3578154479,4.15751719511,3.21692730335,0.93547511076,0.835235132004,10.5640425202,6.03265321516,1.90349855375,1.24153331108,2.76632300778,9.65860462524,1.8208589845,10.9408096046,10.1796879027,0.548440775403,0.985031582063,0.557939759947,4.54371814209,1.14235098988,7.55233358462,0.32335620784,0.352517505546,4.53620501015,1.9527709752,5.5935197472,2.17060076469,3.40716087826,0.99681073936,2.80319726542,1.67031062844,2.86862701426
4,1360_2,9.68389108391,9.47349518649,6.47918599583,10.3623687865,15.2870268481,3.87096645667,2.87124421717,1.28895463013,6.37876003238,10.6465925658,23.6792341149,11.7427172083,0.413197660456,2.45863070146,1.41755449143,4.05363625051,0.651628081786,1.90543751943,7.05916026514,13.4248060566,4.49823823569,3.71158159544,4.23449311769,5.43726245908,0.365414060815,26.8956743043,3.27168902884,4.28978188448,4.65360502235,0.00297289376308,11.3600957101,5.16105028553
5,272623_0,1.57564936392,5.05584606632,1.2979001998,0.658533216102,0.556688834622,2.89144439198,1.90649637365,3.56757136861,0.614945892235,4.88243638553,1.78315360314,0.223163798093,0.708047784827,3.39482482861,2.1058246272,4.54763526717,20.8972631204,1.15896953804,0.977619840103,13.3917718429,6.60639405585,1.87205671218,3.08020670173,9.95167361852,2.59066228086,2.31297121485,8.98491996219,4.24217777558,2.86020513516,7.36341464678,0.219544313465,1.04197506061
6,416870_0,6.81470342979,1.27903722925,1.26276480392,0.653145529216,0.0155173394169,6.69096557352,0.678696158796,1.00252831115,3.04881488341,7.69641766928,4.73321433084,6.75068625723,1.08130532227,1.49814887652,5.14828027271,4.04923923249,2.2149547499,3.22243292861,7.22026376613,1.07490328385,0.42604226469,2.96263107957,3.63371502514,9.24099022078,3.31521570714,2.79461198246,0.527437398747,4.90696899234,3.84929240633,9.82539988854,2.45554630386,2.22170869129
