0,9.04,3.886,3.55,3.89,6.74,2.263,2.04,5.19,3.63,4.66,8.59,3,11.3,5.67,0.815,7.22,10.77,7.448,1.149,15,3.7,5.19,3.04,5.07,6.07,11.82,4.67,6.56,3.705,1.63,12.74,2.67
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,13.81,13.02,21.82,14.04,10.98,14.45,24.8,12.64,6.62,14.96,18.62,20.66,15,8.42,9.02,8.17,8.17,20.69,17.21,13.36,17.64,15.11,10.06,19.03,29.3,10.51,14,7.66,17.38,17.19,17,9.51
3,15.23,9.46,15.67,6.14,8.94,5.33,12.93,13.06,3.53,6.53,16.37,7.8,5.34,2.533,4.86,6.67,8.4,6.53,2.33,10.33,3.937,8.67,4.33,5.07,6.33,18.6,11.4,6,9.27,7.27,14.8,2.53
4,16.73,9.45,19.5,12.64,14.46,21.22,22.44,18.06,12.18,9.18,19.88,14.46,15.72,10.46,10.1,6.82,12.37,14.18,19.18,23.8,9,17.4,14,23.6,15.64,7.73,12.09,16.91,16.08,21.68,18,11.36
5,25.3,10.52,23,20.82,10.76,19.8,10.76,11.92,18.98,2.64,6.64,12.24,14.08,18.72,12.08,6.4,7.72,17.04,24.1,9.08,4.84,4.12,3.76,14.72,16.84,8.56,9.28,11.92,16.54,19.54,13.16,8.48
6,2.157,0.513,0,1.26,2.75,0.538,2.44,1.54,2.11,0,2.15,1.333,0.641,2.107,2.305,0.718,0.872,1.436,0.667,0.718,0,0,0,0.5129,1.487,1.1769,0.743,0.846,1.23,0,1.15,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,9.58,11.11,4.7,7.69,15.67,6.41,5.92,16.9,6.71,8.83,8.27,7.5,8.27,5.56,2.788,10.15,9.17,3.25,1.351,16.26,3.46,7.17,8.04,6.31,7.37,18.55,2.52,2.103,6.83,4.42,11.61,6.44
9,12.11,4.22,10.33,9.33,5.11,16.78,8,14.11,5.89,4,9.22,13.55,7.67,6.56,8,9.44,10.67,6.78,1.778,12.67,8.55,5,3.22,7.44,9,15.45,8.33,6.89,9,10.55,6.44,3.89
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18.44,13,34.6,16.11,16.05,14.21,17.65,13.47,8.31,12.53,19.78,19.51,9.11,10.11,14.05,11.63,14.73,14.63,14.15,17.84,8.64,11.84,12.05,11.21,19.31,10.48,20.9,10.16,15.31,20.53,13.74,19.22
12,1.081,0.297,17.65,5.34,0.554,0,3.63,3.99,0.284,10.79,4.92,5.86,0,3.36,4.457,4.863,4.88,6.94,0.878,0.608,0.878,4.83,0.906,6.02,17.87,5.63,2.158,0,2.1105,1.432,0.5136,3.0676
13,1.04,0,0,0.533,0,1.04,0.519,1.629,1.282,0.874,1.038,0,1.04,0,1.038,1.729,0,0,1.038,0,2.17,1.04,1.559,0,0,0,0.519,0.5486,0.519,0.519,0.519,1.907
14,0,1.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0.802,0,0,0.778,0,0,0,0,0,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.084,2.095,0.856,5.16,0.361,3.13,4.78,2.6,11.3,6.29,1.239,0.786,3.78,2.84,1.259,8.75,9.16,14.8,4.12,2.603,8.82,10.96,5.44,0.602,1.796,1.843,1.293,0,12.51,3.53,6.46,9.14
18,18.21,11.5,5.06,9.75,5.97,6.22,6.45,6.415,1.798,4.03,4.75,12.76,9.43,2.301,5.6,5.43,8.27,0.349,10.7,3.68,11.02,4.49,4.83,14.03,2.129,1.317,15.17,10.69,3.6,7.62,13.48,6.52
19,2.016,0.667,0,0,1.997,3.11,3.177,5.82,5.28,0,0.867,2.919,3.673,0,2,1.12,4.66,2.247,2.242,2.159,0.667,0,1.334,0.543,0.333,0.762,0,5.51,0,1.978,4.67,0
20,14.22,9.97,14.85,13.26,9.73,10.29,14.03,9.01,6.2,12.08,10.93,13.24,11.06,10.6,13.78,8.03,9.83,10.83,11.95,14.3,8.56,8.62,6.97,13.87,13.8,7.87,13.77,6.55,13.75,13.01,11.29,11.25
21,12.75,16.03,29.3,15.07,15.31,12.78,23.5,15.68,11.44,17.08,18.68,20.08,21.18,11.78,11.22,7.32,14.29,12.07,17.35,13.27,15.83,16.05,16.81,18.22,20.92,8.36,15.43,5.14,17.69,9.98,13.51,15.85
22,0.537,1.621,1.96,5,0.528,2.73,7.86,1.886,14.43,8.7,0.492,1.228,4.02,3.31,1.793,8.79,8.45,19.36,7.33,1.427,9.65,9.13,5.72,0.727,2.25,1.662,3.28,0,15.99,4.58,8.62,9.81
23,0,1.17,6.01,0.878,5.62,0.8558,0.3116,1.841,0.866,3.633,0.389,3.31,0.878,0,4.9,0.378,1.345,1.78,1.12,1.934,0,1.754,2.72,0.878,0,1.814,0.467,3.62,2.81,1.11,0,0.6
24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0.92,0,0,0,0.48,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7.42,3.43,1.122,1.28,4.45,7.51,7.5,6.34,10.1,0.565,3.93,8.41,4.79,3.35,9.68,4.87,8.02,5.03,7.14,4.93,4.8,0.146,1.601,3.35,0,5.74,0.773,8.43,1.752,4.32,7.24,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753,0,0,0,0,0,0,0,0,0,0,0,0,0.864
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0.37,0,0,0,0,0,0,0,0,0,0.704,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,0
30,1.784,3.218,2.331,1.063,0,0.25,3.16,1.294,1.049,0.472,0.111,5.32,0.431,4.58,4.73,0,0.139,0.486,1.361,0.9863,2.026,0.458,0.5207,2.562,0.778,1.772,0.486,1.294,0.174,1.32,0.66,1.493
